"is_esc","is_adjustable_steering","is_tpms","is_parking_sensors","is_parking_camera","is_front_fog_lights","is_rear_window_wiper","is_rear_window_washer","is_rear_window_defogger","is_brake_assist","is_power_door_locks","is_central_locking","is_power_steering","is_driver_seat_height_adjustable","is_day_night_rear_view_mirror","is_ecw","is_speed_alert","claim_status"
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",1
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",1
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",1
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",1
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",1
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",1
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",1
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",1
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",1
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",1
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",1
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",1
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",1
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","0","1","1","1","0","0","1","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",1
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",1
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"0","0","0","0","1","0","0","0","0","0","1","1","1","0","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","0","0","0","0","0","0","1","1","1","0","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","1","0","1","1","1","0","0","1","0","1","1","1","1","1","1","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","1","0","1","0","1","0","0","0","1","1","1","1","1","1","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
"0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","1",0
"1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1",0
